province,region,latitude,longitude,altitude,timezone
PAPUA,KABUPATEN SARMI,-2.41667,139.08333,113,9
PAPUA,KABUPATEN KEEROM,-3.3,140.61667,296,9
PAPUA,KABUPATEN WAROPEN,-2.286,137.01837,38,9
PAPUA,KABUPATEN SUPIORI,-0.73881,135.61111,179,9
PAPUA,KABUPATEN MAMBERAMO RAYA,-2.23561,137.78229,205,9
PAPUA,KABUPATEN NDUGA,-4.45093,138.10089,761,9
PAPUA,KABUPATEN LANNY JAYA,-3.91244,138.28766,2642,9
PAPUA,KABUPATEN MAMBERAMO TENGAH,-2.46064,138.45245,995,9
PAPUA,KABUPATEN YALIMO,-3.86037,138.47305,3530,9
PAPUA,KABUPATEN PUNCAK,-4.14204,137.09702,2089,9
PAPUA,KABUPATEN DOGIYAI,-4.03186,135.43945,1573,9
PAPUA,KABUPATEN INTAN JAYA,-3.41016,136.70837,1041,9
PAPUA,KABUPATEN DEIYAI,-3.94737,135.95032,1543,9
PAPUA,KOTA JAYAPURA,-2.64647,140.77779,8,9
